correo,codigo_reserva,numero_viaje,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,fecha_salida,fecha_llegada
AndrOosvanegas@viajes.cl,536570,15125,Gandía,,31,4294,121000,Monbus,,,2025-10-30,2025-11-01
ReinatOIrrez@viajes.cl,537026,81656,Telde,Albacete,36,,55000,"Buses Ahumada",,,2025-07-25,2025-07-26
JosOobOotancourt@viajes.cl,539422,48056,Valladolid,"Torrejón de Ardoz",14,,199000,WestJet,,,2026-03-18,2026-03-20
sr.3064@viajes.cl,539992,44986,"Torrejón de Ardoz",Cuenta,,4164,493000,"HŽ (Croacia)",,,2026-02-22,2026-02-24
sta.2634@viajes.cl,542241,81982,Pamplona,Rubí,,4033,79000,,Cama,,2025-12-02,2025-12-04
miguel8866@viajes.cl,543056,40828,Bilbao,Torrelavega,72,4252,470000,"ŽFBH (Bosnia y Herzegovina)",,,2025-10-06,2025-10-08
Juliabriseno@viajes.cl,543682,83577,Gandía,Estepona,,2798,131000,Turbus,Cama,,2025-09-26,2025-09-27
marilu8879@viajes.cl,543773,39976,Torrevieja,"San Cristróbal de la Laguna",41,,181000,"Condor Bus",Cama,,2026-03-05,2026-03-07
Sta.cardenas@viajes.cl,544564,48463,,Mérida,43,2964,152000,Andesmar,Cama,,,2025-05-23
juan5265@viajes.cl,546066,5284,Getafe,,70,2602,86000,"ŽSSK (Eslovaquia)",,,2026-03-15,2026-03-16
MarOAaortiz@viajes.cl,546602,93688,,Vitoria,91,990,43000,Trenitalia,,,2026-06-07,2026-06-07
ocarga@viajes.cl,547249,43972,Ceuta,Fuengirola,79,2207,205000,"Deutsche Bahn (DB)",,,2026-03-05,2026-03-06
juan6666@viajes.cl,548126,4039,"Chiclana de la Frontera",Alicante,91,420,60000,"ŽFBH (Bosnia y Herzegovina)",,,2026-01-16,2026-01-16
teires@viajes.cl,548334,39399,,,,2304,89000,"Estrella Roja",Cama,,2025-12-07,2025-12-08
rebeca3851@viajes.cl,549966,9841,Cartagena,"Alcalá de Henares",43,,56000,,Cama,,2026-10-18,2026-10-20
MarOAahenrOAquez@viajes.cl,551611,19627,Alcorcón,"San Cristróbal de la Laguna",,4227,220000,"ZSSK (Eslovaquia)",,,2026-03-16,2026-03-18
marilu7833@viajes.cl,553104,98225,Santander,Inca,40,3147,131000,"Flecha Bus",Cama,,2026-04-30,2026-05-02
Maricarmencenteno@viajes.cl,555441,1174,"Santa Lucía de Tirajana",Huelva,,,104000,"All Nippon Airways (ANA)",,,,2025-06-27
mavele@viajes.cl,557018,73897,"Mollet del Vallés","Palma de Mallorca",,3616,493000,"Spirit Airlines",,,2025-05-14,2025-05-16
Luzmata@viajes.cl,558176,37355,,"Las Palmas de Gran Canaria",,2880,292000,Emirates,,,2026-10-08,2026-10-10
josOo586@viajes.cl,560135,91905,Puertollano,,93,,127000,"Alaska Airlines",,,2026-05-11,2026-05-11
agzerOA@viajes.cl,561281,28232,"Collado Villalba",Albacete,,1435,44000,"HŽ (Croacia)",,,2026-11-05,2026-11-05
mayte743@viajes.cl,563088,32566,"La Coruña",Cartagena,95,964,79000,"TGV (SNCF)",,,,2026-04-08
