nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto
"Luz Zavala Velásquez",7025412,3,LuzvelOesquez@marmol.com,eVmoWeXdE8UdKN3m,luz2888,+56-2-3340-2787
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,"+56 9 6191 3372"
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,"+56 9 6191 3372"
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.cal,hBzp14EYD9W,ansibe,"+56 2 9073 3130"
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva@wass.com,4FpjEN0w2,Sanchogrijalva,"+56 9 1762 3200"
"José Urías Arce",22.594.065,7,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,jourar,"+56 9 1011 3842"
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,"+56 2 2030 1743"
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,"+56 2 2030 1743"
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera@outluc.com,8A22Hx2rzPv8,Miguelcabrera,"+56 9 2711 3385"
"Sra. Barbara Badillo Manzanares",10409330,2,Sra.manzanares@wass.com,JybLcTOd0PsPOgQ,sra.5162,"+56 9 1253 4997"
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,"+56 2 9763 8895"
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,+56-2-9763-8895
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,"+56 9 6547 1215"
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,"+56 9 6547 1215"
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107"
"Guadalupe Moya Espinal",12.707.351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107"
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107"
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,ca10i7KiU2VPwOg,becóma,"+56 2 6979 0705"
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,ca10i7KiU2VPwOg,becóma,+56-2-6979-0705
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,gc7pbohzLwYF3,maburu,"+56 2 5953 9398"
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,gc7pbohzLwYF3,maburu,"+56 2 5953 9398"
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,Eh484WYgHwyf,alfrga,"+56 9 6508 3119"
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,Eh484WYgHwyf,alfrga,"+56 9 6508 3119"
"Roberto Delao Lovato",17545422,5,rodelo@marmol.com,de3KY7eF8sBuR,roberto4727,"+56 9 2808 4782"
"Sr. Graciela Aguayo Porras",11228187,8,Sr.porras@viajesanma.com,HZjbh3SSl6oE,Sr.porras,"+56 2 6948 6440"
"Sr. Graciela Aguayo Porras",11228187,8,Sr.porras@viajesanma.com,HZjbh3SSl6oE,Sr.porras,"+56 2 6948 6440"
"Daniel Llamas Espino",23174998,5,Danielespino@edubus.cal,D9NiFftWewq4YEi,daniel115,"+56 2 5851 6852"
"Carla Lomeli Roldán",1.438.951,2,caloro@marmol.com,KOeOdXukZ95Rrk,caloro,"+56 2 8865 3439"
"Manuel Palacios Bustamante",23.772.488,7,mapabu@viajesanma.com,oj7aLTKMP,Manuelbustamante,"+56 9 9646 0493"
"Manuel Palacios Bustamante",23772488,7,mapabu@viajesanma.com,oj7aLTKMP,Manuelbustamante,"+56 9 9646 0493"
"Virginia Rocha Nazario",5034579,3,virona@marmol.com,VnuAi1Br7,virona,"+56 2 2354 1776"
"Virginia Rocha Nazario",5034579,3,virona@marmol.com,VnuAi1Br7,virona,"+56 2 2354 1776"
"Alejandro Gaitán Piña",20167844,7,Alejandropina@viajesanma.com,t5v8cfm7G9IObk,Alejandropiña,"+56 9 9065 1717"
"Eduardo Almaraz López",3269097,1,eduardo3912@tourket.com,hgcbK8i0MGW,eduardo7593,"+56 9 7073 6580"
"Diego Espinosa Espinosa",9907928,2,diego3113@outluc.com,xVDxrcH95nl3p,diego6689,"+56 9 0420 5617"
