nombre,run,dv,correo,contrasena,nombre_usuario,telefono_contacto,puntos
"Luz Zavala Velásquez",7025412,3,LuzvelOesquez@marmol.com,eVmoWeXdE8UdKN3m,luz2888,+56-2-3340-2787,4505
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,"+56 9 6191 3372",5616
"Ricardo Cornejo Borrego",10050736,6,Ricardoborrego@marmol.com,7HI6nw9ZoUIi,ricobo,"+56 9 6191 3372",5616
"Ana Sierra Benavídez",1722271,6,AnabenavOAdez@edubus.cal,hBzp14EYD9W,ansibe,"+56 2 9073 3130",1189
"Sancho Corral Grijalva",15695071,8,Sanchogrijalva@wass.com,4FpjEN0w2,Sanchogrijalva,"+56 9 1762 3200",8834
"José Urías Arce",22.594.065,7,JosOoarce@wass.com,FO3hK5sAr60tM3Qv,jourar,"+56 9 1011 3842",3631
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,"+56 2 2030 1743",7210
"Javier Barrios Partida",7129015,8,javier7109@edubus.cal,tr3vH7VrYenK,Javierpartida,"+56 2 2030 1743",7210
"Miguel Ángel Lozada Cabrera",8904137,6,Miguelcabrera@outluc.com,8A22Hx2rzPv8,Miguelcabrera,"+56 9 2711 3385",1275
"Sra. Barbara Badillo Manzanares",10409330,2,Sra.manzanares@wass.com,JybLcTOd0PsPOgQ,sra.5162,"+56 9 1253 4997",1285
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,"+56 2 9763 8895",8146
"Pilar Ureña Rolón",11380697,4,pilar808@marmol.com,4pKtUTe7IMSEwf,Pilarrolón,+56-2-9763-8895,8146
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,"+56 9 6547 1215",345
"Marcos Delrío Gaona",6163899,7,madega@marmol.com,YNbMI9F4,marcos301,"+56 9 6547 1215",345
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107",5952
"Guadalupe Moya Espinal",12.707.351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107",5952
"Guadalupe Moya Espinal",12707351,1,guadalupe2405@wass.com,WSsIsrkw25,guadalupe2953,"+56 9 4257 6107",5952
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,ca10i7KiU2VPwOg,becóma,"+56 2 6979 0705",8735
"Benjamín Córdova Marín",14910264,7,benjamOAn4313@edubus.cal,ca10i7KiU2VPwOg,becóma,+56-2-6979-0705,8735
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,gc7pbohzLwYF3,maburu,"+56 2 5953 9398",4361
"Marcela Bustos Ruelas",3903785,8,maburu@marmol.com,gc7pbohzLwYF3,maburu,"+56 2 5953 9398",4361
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,Eh484WYgHwyf,alfrga,"+56 9 6508 3119",2923
"Alberto Frías Gaitán",4098846,7,AlbertogaitOen@outluc.com,Eh484WYgHwyf,alfrga,"+56 9 6508 3119",2923
"Roberto Delao Lovato",17545422,5,rodelo@marmol.com,de3KY7eF8sBuR,roberto4727,"+56 9 2808 4782",1422
