agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
60152,Cena de Trabajo,80379,2025-10-10,1107000,9,No disponible,369,,,,,,,,,,,"{Gimnasio,Comida,""Servicio a la habitación"",Baño,Calefacción}",{},,{},Drury Hotels,Tarrasa,41000,3,2026-02-03,2026-02-06,,,,,,,,,,,{},,
60566,,80611,2025-09-04,52000,2,No disponible,52,,,,,,,,,,,"{Wifi,Comida,Gimnasio,Baño,""Servicio a la habitación""}",{},,{},Kimpton Hotels & Restaurants,Talavera de la Reina,26000,1,2026-05-18,2026-05-19,"{""Silencio después de las 10 PM"",""Check-out antes de las 11 AM"",""Check-in después de las 3 PM""}",,,,,,,,,,{},,
56541,,80991,2025-01-17,147000,5,No disponible,105,,,,,,,,,,,"{Piscina,Wifi,""Vista al mar"",Baño,Balcón}",{},,{},Departamento en Vigo,Vigo,21000,2,2025-01-28,2025-02-04,{},Jorge Valentín Marín,,,6,5,2,,,,{},,
61751,Cena de Trabajo,81219,2025-03-22,1236000,6,No disponible,618,,,,,,,,,,,"{Comida,TV,Calefacción,Baño,Piscina}",{},,{},InterContinental Hotels Group (IHG),Cáceres,103000,2,2026-10-19,2026-10-21,,,,,,,,,,,{},,
56724,Cena de Trabajo,82514,2025-11-23,3108000,7,No disponible,518,,,,,,,,,,,"{Calefacción,Gimnasio,TV,Spa,Baño}",{},,{},InterContinental Hotels Group (IHG),Leganés,74000,5,2026-02-22,2026-02-28,"{""Check-out antes de las 11 AM"",""No se permiten visitas"",""No se permite fumar""}",,,,,,,,,,{},,
65621,Cena de Trabajo,82867,2025-01-14,1320000,6,No disponible,330,,,,,,,,,,,"{Gimnasio,""Aire acondicionado"",Spa,Calefacción,Baño}",{},,{},Best Western Hotels & Resorts,Linares,55000,4,2025-04-23,2025-04-27,"{""Check-in después de las 3 PM"",""No se permite fumar"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},,
64567,Cena de Trabajo,83597,2025-07-04,8344000,8,No disponible,1192,,,,,,,,,,,"{""Aire acondicionado"",Agua,""Servicio a la habitación"",Comida,Piscina}",{},,{},Mandarin Oriental,Bilbao,149000,5,2026-08-11,2026-08-18,"{""No se permite fumar"",""Check-in después de las 3 PM"",""No se permiten visitas""}",,,,,,,,,,,,
63546,Salida con Familia,84522,2025-11-12,1026000,9,No disponible,1026,,,,,,,,,,,"{Gimnasio,""Asientos reclinables"",Baño,Agua,Comida}",{},,{},Melia Hotels International,Cádiz,114000,4,2025-11-27,2025-11-28,"{""Check-out antes de las 11 AM"",""Silencio después de las 10 PM"",""No se permite fumar""}",,,,,,,,,,{},,
62442,Salida con Familia,85027,2025-11-24,41000,1,No disponible,41,,,,,,,,,,,"{""Aire acondicionado"",Piscina,Chimenea,Agua,""Servicio a la habitación""}",{},,{},Residencia en Estepona,Estepona,41000,1,2025-11-29,2025-11-30,{},,+56 9 4305 3925,Ideal para una escapada romántica,3,,1,,,,,,
62593,Aniversario,86196,2025-06-11,588000,4,No disponible,84,,,,,,,,,,,"{Spa,Piscina,Wifi,""Servicio a la habitación"",""Aire acondicionado""}",{},,{},Shangri-La Hotels and Resorts,Mataró,21000,2,2025-08-02,2025-08-09,"{""No se permiten visitas"",""Check-in después de las 3 PM"",""Check-out antes de las 11 AM""}",,,,,,,,,,{},,
