agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
63964,Aniversario,78648,2025-11-02,735000,7,No disponible,735,maespa877@viajes.cl,Santa Cruz de Tenerife,Lorca,48,4263,105000,Buses Bio Bio,2026-01-01,2026-01-03,Cama,"{""Asientos reclinables"",Comida,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
64738,Salida con Familia,79437,2025-02-13,220000,5,No disponible,220,sranlusagu985@viajes.cl,Cerdañola del Vallés,Badajoz,34,467,44000,Via Bariloche,2025-10-01,2025-10-01,Cama,"{TV,""Aire acondicionado"",Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
60649,Salida con Amigos,79946,2025-10-30,1880000,10,No disponible,1880,Sra.loera788@viajes.cl,Avilés,Santa Lucía de Tirajana,44,4151,188000,El Rápido Internacional,2025-11-12,2025-11-14,Cama,"{Wifi,Agua,""Aire acondicionado""}",,,{},,,,,,,{},,,,,,,,,,,,
60917,Vacaciones,80648,2025-10-28,784000,8,No disponible,784,áncava459@viajes.cl,San Sebastían de los Reyes,Cerdañola del Vallés,34,1698,98000,Andesmar,2025-12-22,2025-12-23,Cama,"{Calefacción,Comida,Baño}",{},,{},,,,,,,{},,,,,,,,,,{},,
56257,Vacaciones,80706,2025-08-30,606000,6,No disponible,606,sr.3211682@viajes.cl,Motril,Torrelavega,41,1944,101000,Greyhound,2025-09-22,2025-09-23,Cama,"{""Asientos reclinables"",Wifi,TV}",{},,{},,,,,,,{},,,,,,,,,,{},,
66099,Salida con Familia,83243,2025-02-16,153000,3,No disponible,153,Esperanzacandelaria990@viajes.cl,Elda,Santa Cruz de Tenerife,36,572,51000,Plusmar,2025-09-02,2025-09-02,Semi-cama,"{Agua,Baño,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},,
57591,Salida con Amigos,84919,2025-08-05,412000,4,No disponible,412,mónica1582901@viajes.cl,Linares,San Fernando,38,1391,103000,Spirit Airlines,2026-10-07,2026-10-07,,{},,Clase económica,{},,,,,,,{},,,,,,,,,,{},,
65760,Aniversario,85035,2025-02-25,948000,6,No disponible,948,maancare777@viajes.cl,Salamanca,Rubí,12,200,158000,NSB (Noruega),2025-08-29,2025-08-29,,{},{},,"{""San Sebastían de los Reyes"",Pontevedra,Sagunto,""Chiclana de la Frontera""}",,,,,,,{},,,,,,,,,,{},,
65760,Aniversario,85038,2025-08-02,1752000,6,No disponible,1752,crgrza752@viajes.cl,Mataró,El Puerto de Santa María,6,2162,292000,Renfe,2025-08-31,2025-09-01,,"{""Aire acondicionado"",Calefacción,Baño,Comida,""Asientos reclinables""}",{},,"{Albacete,Pamplona,Telde}",,,,,,,{},,,,,,,,,,{},,
61226,Cena de Trabajo,85277,2026-04-07,912000,6,No disponible,912,srocbega579@viajes.cl,San Sebastián,Fuengirola,40,1924,152000,Buses Romani,2026-11-03,2026-11-04,Cama,"{Wifi,Comida,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},,
63484,Cena de Trabajo,85706,2025-09-20,690000,6,No disponible,690,teodoro9438521@viajes.cl,Benidorm,Zamora,63,1900,115000,ZFBH (Bosnia y Herzegovina),2026-01-25,2026-01-26,,"{""Aire acondicionado"",Agua,""Asientos reclinables"",Baño}",{},,"{""Hospitalet de LLobregat""}",,,,,,,{},,,,,,,,,,{},,
57430,Vacaciones,87401,2025-01-15,1200000,10,No disponible,1200,Maríacavazos182@viajes.cl,Vitoria,Telde,47,2819,120000,Andesmar,2025-03-19,2025-03-20,Cama,"{Comida,TV,""Asientos reclinables""}",{},,{},,,,,,,,,,,,,,,,,{},,
61922,Salida con Amigos,88333,2025-02-09,290000,2,No disponible,290,Alfonsovanegas280@viajes.cl,Valdemoro,Valladolid,35,3069,145000,Buses Bio Bio,2025-02-21,2025-02-23,Cama,"{""Asientos reclinables"",""Aire acondicionado"",Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
61655,Cena de Trabajo,88841,2025-03-25,936000,9,No disponible,936,Sra.alanis701@viajes.cl,El Ejido,Sanlúcar de Barrameda,30,927,104000,Via Bariloche,2026-05-20,2026-05-20,Cama,"{Calefacción,""Asientos reclinables"",Baño}",{},,{},,,,,,,{},,,,,,,,,,{},,
61118,Aniversario,91467,2025-04-08,895000,5,No disponible,895,coarro408@viajes.cl,Vigo,Las Palmas de Gran Canaria,78,129,179000,DSB (Dinamarca),2025-06-11,2025-06-11,,{},{},,"{Linares,Ávila,""Castellón de la Plana""}",,,,,,,{},,,,,,,,,,{},,
55648,Vacaciones,91683,2026-09-15,2135000,7,No disponible,2135,Sr.lira601@viajes.cl,Chiclana de la Frontera,Rivas-Vaciamadrid,53,3204,305000,Air New Zealand,2026-11-19,2026-11-21,,{},,Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},,
65868,,92183,2025-08-18,272000,2,No disponible,272,maespa877@viajes.cl,Alcobendas,Bilbao,28,456,136000,Renfe,2026-09-04,2026-09-04,,{},{},,"{Algeciras,Córdoba}",,,,,,,{},,,,,,,,,,{},,
61741,Salida con Amigos,93179,2025-03-08,448000,7,No disponible,448,ramón7363256@viajes.cl,Marbella,Rivas-Vaciamadrid,44,2256,64000,FlixBus,2026-08-09,2026-08-10,Cama,"{Calefacción,TV,Baño}",{},,{},,,,,,,{},,,,,,,,,,{},,
65944,Aniversario,93201,2025-04-22,1062000,9,No disponible,1062,hoarfe244@viajes.cl,Toledo,Salamanca,50,2232,118000,Amtrak,2026-06-05,2026-06-06,,"{Comida,Baño,Wifi,TV,""Asientos reclinables""}",{},,{Mataró},,,,,,,{},,,,,,,,,,{},,
58769,Salida con Amigos,94698,2025-03-13,936000,9,No disponible,936,Josefinabarrios725@viajes.cl,Molina de Segura,Benalmádena,42,1694,104000,El Rápido Internacional,2025-04-16,2025-04-17,Cama,"{Agua,Calefacción,TV}",{},,{},,,,,,,{},,,,,,,,,,{},,
58069,Aniversario,95460,2025-10-13,1089000,9,No disponible,1089,sralbabu154@viajes.cl,Baracaldo,Santiago de Compostela,22,2311,121000,ZFBH (Bosnia y Herzegovina),2025-12-22,2025-12-23,,"{Baño,Agua,Calefacción,Comida,""Aire acondicionado""}",{},,"{Majadahonda,Rivas-Vaciamadrid,""El Puerto de Santa María""}",,,,,,,{},,,,,,,,,,{},,
62825,Cena de Trabajo,95863,2025-04-26,810000,10,No disponible,810,anzama631@viajes.cl,Santa Coloma de Gramanet,Las Palmas de Gran Canaria,66,2158,81000,SNCB (Bélgica),2026-02-25,2026-02-26,,"{Baño,Wifi,Agua,Comida}",{},,{},,,,,,,{},,,,,,,,,,{},,
58814,Vacaciones,96125,2026-02-04,150000,2,No disponible,150,Anaalonzo110@viajes.cl,Las Palmas de Gran Canaria,Sagunto,49,2622,75000,Via Bariloche,2026-02-07,2026-02-08,Cama,"{Baño,Wifi,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
61149,Vacaciones,98898,2025-03-31,1690000,5,No disponible,1690,Adrianaarevalo161@viajes.cl,La Coruña,Lugo,35,3769,338000,ŽFBH (Bosnia y Herzegovina),2025-08-27,2025-08-29,,"{""Aire acondicionado"",TV,Agua,Comida,Wifi,Calefacción,""Asientos reclinables""}",{},,"{""San Sebastían de los Reyes""}",,,,,,,{},,,,,,,,,,{},,
58351,Vacaciones,99164,2025-01-13,425000,5,No disponible,425,reciso597@viajes.cl,Castellón de la Plana,Gijón,20,752,85000,CFR (Rumania),2025-01-27,2025-01-27,,,{},,{},,,,,,,{},,,,,,,,,,{},,
66160,Cena de Trabajo,99347,2025-08-15,1932000,7,No disponible,1932,alirsa833@viajes.cl,Santa Lucía de Tirajana,El Prat de LLobregat,21,2414,276000,MÁV (Hungría),2025-08-26,2025-08-27,,"{Comida,Agua,Wifi,""Asientos reclinables"",TV}",{},,"{Barcelona,""Mollet del Vallés"",Barcelona,Guadalajara,Gijón}",,,,,,,{},,,,,,,,,,{},,
60369,Cena de Trabajo,99696,2026-07-22,1808000,8,No disponible,1808,maría6926441@viajes.cl,Santiago de Compostela,Gandía,20,4155,226000,NSB (Noruega),2026-11-09,2026-11-11,,"{TV,Agua,Baño,""Aire acondicionado"",Wifi,""Asientos reclinables"",Comida}",{},,"{Guadalajara,Rubí,Santander}",,,,,,,{},,,,,,,,,,,,
56644,Cena de Trabajo,100083,2025-11-23,1368000,9,No disponible,1368,mario9200187@viajes.cl,Tarrasa,Sanlúcar de Barrameda,44,704,152000,Buses Nilahue,2026-03-06,2026-03-06,Cama,"{Comida,Calefacción,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},,
59495,Salida con Amigos,100804,2025-06-13,178000,1,No disponible,178,magdalena1234556@viajes.cl,Madrid,Sanlúcar de Barrameda,31,2147,178000,AVE,2026-02-08,2026-02-09,,"{Comida,Wifi,Calefacción,TV}",{},,"{Viladecans,""Dos Hermanas"",Jaén,Lérida}",,,,,,,{},,,,,,,,,,,,
59966,Cena de Trabajo,101058,2025-03-23,792000,9,No disponible,792,stóspaab867@viajes.cl,San Sebastían de los Reyes,Pontevedra,41,3916,88000,Futura,2025-03-26,2025-03-28,Cama,,{},,{},,,,,,,,,,,,,,,,,{},,
61682,Salida con Familia,103957,2025-03-27,270000,3,No disponible,270,esguol423@viajes.cl,San Sebastían de los Reyes,San Sebastián,38,3933,90000,Socibus,2026-05-30,2026-06-01,Cama,"{Agua,Calefacción,TV}",{},,{},,,,,,,{},,,,,,,,,,{},,
58621,Salida con Familia,104927,2026-01-13,2530000,10,No disponible,2530,Sra.tafoya600@viajes.cl,Sanlúcar de Barrameda,Lérida,24,3280,253000,SBB (Suiza),2026-04-16,2026-04-18,,"{Calefacción,""Asientos reclinables"",Baño,Wifi,""Aire acondicionado"",Comida}",{},,"{Gandía,Elda,Cádiz,Ponferrada}",,,,,,,{},,,,,,,,,,{},,
57636,Aniversario,105044,2026-07-10,524000,2,No disponible,524,micaela3633872@viajes.cl,Alcalá de Guadaira,San Sebastián,97,3515,262000,CFR (Rumania),2026-11-11,2026-11-13,,"{Agua,Wifi,""Asientos reclinables"",""Aire acondicionado"",TV,Comida}",{},,"{Pamplona,""Santa Lucía de Tirajana"",Santander,""Roquetas de Mar"",""San Sebastián""}",,,,,,,{},,,,,,,,,,{},,
58755,Aniversario,105339,2025-05-05,98000,1,No disponible,98,Sra.montaño428@viajes.cl,Hospitalet de LLobregat,Lérida,20,1475,98000,TGV (SNCF),2025-09-03,2025-09-04,,"{""Aire acondicionado"",TV,Wifi,Agua}",{},,"{""Pozuelo de Alarcón"",Lérida,Sagunto,Reus,""Cerdañola del Vallés""}",,,,,,,{},,,,,,,,,,{},,
57504,Cena de Trabajo,105967,2025-04-28,690000,10,No disponible,690,Maríadomínguez453@viajes.cl,Ceuta,Santa Lucía de Tirajana,46,1713,69000,Pullman Bus,2026-09-05,2026-09-06,Cama,"{Wifi,Calefacción,Comida}",{},,{},,,,,,,{},,,,,,,,,,{},,
57504,Cena de Trabajo,105968,2025-03-26,1460000,10,No disponible,1460,manuel8069557@viajes.cl,Santa Lucía de Tirajana,Rubí,35,1734,146000,Monbus,2026-09-06,2026-09-07,Cama,"{Wifi,Calefacción,TV}",{},,{},,,,,,,{},,,,,,,,,,{},,
66386,Cena de Trabajo,107628,2025-09-18,169000,1,No disponible,169,antonio5143423@viajes.cl,Marbella,Pontevedra,95,1989,169000,SBB (Suiza),2025-11-28,2025-11-29,,"{""Aire acondicionado"",TV,""Asientos reclinables"",Baño}",{},,"{Irún,""Jerez de la Frontera"",Almería,Vigo}",,,,,,,{},,,,,,,,,,{},,
60172,Salida con Familia,108013,2026-03-14,522000,3,No disponible,522,rebeca2742263@viajes.cl,Valencia,Murcia,38,3192,174000,El Rápido Internacional,2026-08-21,2026-08-23,Cama,"{Wifi,Baño,""Asientos reclinables""}",{},,,,,,,,,{},,,,,,,,,,{},,
63596,Cena de Trabajo,109927,2025-03-06,408000,4,No disponible,408,Sra.leyva287@viajes.cl,Baracaldo,Gijón,48,3899,102000,Via Bariloche,2025-04-21,2025-04-23,,"{Baño,TV,Wifi}",{},,{},,,,,,,{},,,,,,,,,,{},,
58006,Salida con Amigos,112341,2025-01-13,978000,6,No disponible,978,clsepi736@viajes.cl,Zamora,Gandía,30,1839,163000,EME Bus,2025-07-25,2025-07-26,Cama,"{""Aire acondicionado"",TV,Agua}",{},,{},,,,,,,{},,,,,,,,,,{},,
58730,Aniversario,112723,2026-03-20,616000,8,No disponible,616,cazaba427@viajes.cl,Huelva,Vitoria,88,2125,77000,Italo,2026-07-04,2026-07-05,,"{""Asientos reclinables"",Wifi,TV,Agua}",{},,"{Motril,Murcia}",,,,,,,{},,,,,,,,,,{},,
58163,Salida con Amigos,114473,2025-07-14,38000,2,No disponible,38,Patriciahuerta665@viajes.cl,Sagunto,Alcorcón,54,227,19000,NSB (Noruega),2026-11-30,2026-11-30,,{},{},,"{Telde,Gerona,Salamanca,""Santa Cruz de Tenerife""}",,,,,,,{},,,,,,,,,,{},,
57807,Salida con Familia,115025,2025-01-26,456000,8,No disponible,456,Enriqueochoa292@viajes.cl,Baracaldo,León,35,962,57000,Chevallier,2025-12-29,2025-12-29,Cama,"{Baño,""Asientos reclinables"",Agua}",{},,{},,,,,,,{},,,,,,,,,,{},,
