agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
57971,Salida con Amigos,79685,2025-03-26,732000,2,No disponible,732,macaar807@viajes.cl,Palma de Mallorca,Toledo,42,4005,366000,Qatar Airways,2025-08-22,2025-08-24,,{},"{Coslada,Oviedo}",Primera clase,{},,,,,,,{},,,,,,,,,,{},,
56854,Cena de Trabajo,80601,2025-03-29,1595000,5,No disponible,1595,Sr.treviño590@viajes.cl,Albacete,Estepona,33,3129,319000,Copa Airlines,2025-05-31,2025-06-02,,{},"{""Palma de Mallorca"",Telde,""Cornellá de Llobregat"",Madrid}",Clase ejecutiva,{},,,,,,,,,,,,,,,,,{},,
58482,Cena de Trabajo,81519,2026-02-07,1048000,8,No disponible,1048,sta.6665708@viajes.cl,Cerdañola del Vallés,Ávila,57,1183,131000,LATAM Airlines,2026-02-23,2026-02-23,,{},{Majadahonda},Clase económica,{},,,,,,,{},,,,,,,,,,,,
61170,Salida con Familia,82135,2025-06-25,3410000,10,No disponible,3410,majozúsa208@viajes.cl,Motril,Mijas,81,3967,341000,Vueling,2026-05-05,2026-05-07,,{},"{Orense,Viladecans}",Primera clase,{},,,,,,,{},,,,,,,,,,{},,
66443,Salida con Amigos,82190,2025-06-28,2037000,7,No disponible,2037,hoarfe244@viajes.cl,Guadalajara,Alcobendas,19,2399,291000,EasyJet,2025-07-13,2025-07-14,,{},{Mérida},Primera clase,{},,,,,,,{},,,,,,,,,,{},,
63724,Aniversario,82603,2025-04-22,288000,2,No disponible,288,luisa6260852@viajes.cl,Lérida,Rubí,32,678,144000,Delta Air Lines,2025-11-27,2025-11-27,,{},{},Clase ejecutiva,{},,,,,,,{},,,,,,,,,,{},,
65018,Salida con Amigos,83290,2025-02-19,1270000,10,No disponible,1270,vípama583@viajes.cl,Alcalá de Henares,Tarrasa,26,2646,127000,Turkish Airlines,2025-06-07,2025-06-08,,{},"{Tarragona,Getafe,Málaga}",Primera clase,,,,,,,,,,,,,,,,,,{},,
57265,Vacaciones,84326,2025-02-14,444000,3,No disponible,444,sra.7988218@viajes.cl,Vigo,Las Palmas de Gran Canaria,37,861,148000,Ethiopian Airlines,2025-09-11,2025-09-11,,{},{},Clase económica,{},,,,,,,{},,,,,,,,,,{},,
57591,Salida con Amigos,84919,2025-08-05,412000,4,No disponible,412,mónica1582901@viajes.cl,Linares,San Fernando,38,1391,103000,Spirit Airlines,2026-10-07,2026-10-07,,{},,Clase económica,{},,,,,,,{},,,,,,,,,,{},,
65760,Aniversario,85035,2025-02-25,948000,6,No disponible,948,maancare777@viajes.cl,Salamanca,Rubí,12,200,158000,NSB (Noruega),2025-08-29,2025-08-29,,{},{},,"{""San Sebastían de los Reyes"",Pontevedra,Sagunto,""Chiclana de la Frontera""}",,,,,,,{},,,,,,,,,,{},,
