nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sra. Horacio Gaona Ávalos,sra.8759194@wass.com,Uc53OiObnyagAOnw,Sra.ávalos708,+56 9 0367 1632,23556293,7710,,,,6
Ariadna Ocasio Segura,Ariadnasegura928@edubus.cal,5fKk5WJxOUG,Ariadnasegura481,+56 2 4698 7846,10357110,29142,,,,3
Alejandra Serrato Escamilla,Alejandraescamilla109@marmol.com,xO08PUV8vNJXel,alsees459,+56 9 3568 0939,27792361,0,,,,0
Sta. Vicente Camacho Delvalle,Sta.delvalle496@tourket.com,LlkghN7Vs,sta.8228233,+56 2 1779 8679,16663834,,,,,8
Laura Pedroza Alejandro,lapeal861@marmol.com,VCX2x12FTfj2kOn,lapeal602,+56 9 8955 3193,23971030,2628,,,,1
Felipe Malave Guzmán,femagu861@outluc.com,0EM0qX3yBNe,felipe389913,+56 9 9829 3364,13634972,-3776,,,,4
Ana Luisa Arevalo Mendoza,ana5979252@marmol.com,wte9d5FMzeD,ana5819719,+56 2 9107 0862,14171611,0,,,,5
Germán Toledo Cuellar,germán8997308@tourket.com,YWsDia1EZn1Sx8,germán6811982,+56 2 4076 9906,28578767,3283,,,,K
Salvador Tafoya Valencia,satava538@marmol.com,L69cINeI5,satava439,+56 2 8922 5784,14407817,1282,,,,9
Ana María Solorzano Ledesma,anmasole255@marmol.com,d3KBs54QTV,Analedesma879,+56 9 4970 0391,14398569,-4451,,,,5
Esteban Rojas de Anda,esrodean849@outluc.com,8Z0QJ1eMWWPzCx7,esrodean545,+56 9 6162 9540,29815907,25663,,,,4
Yolanda Grijalva Solorio,yolanda9740504@tourket.com,5O8pCJepAj3rV,Yolandasolorio101,+56 9 7038 6484,21259319,6620,,,,2
Daniel Tovar Orozco,daniel9564115@viajes.cl,rSDU5LZVyiZ530Dp,datoor784,+56 9 9961 8616,10188544,,Nocturno,Colmena,,5
Alejandro Ramos Gálvez,alragá795@marmol.com,wtvcEf7ArJbXy,Alejandrogálvez870,+56 9 8179 0592,27334479,,,,,9
Rubén Palacios Urrutia,Rubénurrutia461@viajesanma.com,IHXcQk4W6O,rubén4669176,+56 9 9465 9295,18765288,5496,,,,K
Beatriz Sandoval Molina,beatriz6030988@wass.com,B2ZkrAAX,Beatrizmolina770,+56 2 7975 8365,28932616,0,,,,2
Yolanda Berríos Amaya,yobeam796@outluc.com,Aekl9V5v,Yolandaamaya752,+56 9 4325 1893,25917143,5742,,,,1
Clemente Cazares Dávila,Clementedávila394@wass.com,kuCkuF9p,clcadá870,+56 2 5325 7108,12881824,0,,,,3
Ana María Ordóñez Ibarra,ana168390@viajes.cl,e1Rqo4oPNR7okJsi,anmaorib399,+56 9 3275 7794,21245655,,Nocturno,,Part time,1
Rodrigo Márquez Pizarro,romápi821@outluc.com,KXx7L3264qyOU9,romápi412,+56 2 6429 1205,15773690,10130,,,,6
Eloisa Navarrete Angulo,elnaan603@marmol.com,IdVvwfNiSpLHOl8L,elnaan850,+56 9 0283 0253,18788444,9950,,,,6
Sr. Teresa Arreola Orta,Sr.orta737@tourket.com,bYCtWRW7NC89bqeD,sr.1685200,+56 2 6082 9251,14760771,3680,,,,7
Sta. Luz Robles Maya,Sta.maya232@tourket.com,iSwknp97E8G,stluroma285,+56 9 9941 3401,24930696,5673,,,,7
Sra. Esperanza Zapata Ortiz,sreszaor222@edubus.cal,pq7amRaGWW,sra.6735429,+56 9 9121 6907,25810653,4263,,,,9
Sra. José Luis Saucedo Espinoza,Sra.espinoza743@outluc.com,ybJw8QWZTl8idoRZ,srjolusaes958,+56 2 0877 5639,14187322,5184,,,,9
Jorge Alicea Concepción,Jorgeconcepción562@outluc.com,U3pUPAN2e8s,Jorgeconcepción432,+56 2 5340 8052,25208119,22708,,,,4
Tomás Cornejo Adorno,Tomásadorno795@tourket.com,xwu3Vx2KvlHUS5K,tomás1082449,+56 9 4559 4159,14924591,29268,,,,K
Lucas Peña Almonte,lupeal718@viajes.cl,Wf50uEo3NLXMfg,Lucasalmonte986,+56 2 8332 2553,19396780,,Nocturno,Consalud,,9
Laura Loera Reséndez,laura7467553@edubus.cal,OylAfT9cJjE,lalore208,+56 9 1017 0003,11006057,,,,,2
Luz Montañez Casillas,lumoca977@wass.com,N2va140UzQZH,luz5150894,,23979277,1269,,,,4
Pedro Varela Nieves,pedro2380727@tourket.com,5JrW9f5SxFi36X,Pedronieves447,+56 9 5393 4879,26660729,13766,,,,6
Sta. Homero Solorzano Navarro,sthosona654@tourket.com,78K1wMYLqUOWym,sthosona910,+56 9 1997 2555,16573393,0,,,,2
Cristian Lira Arguello,crliar308@viajesanma.com,ZxA8eDvHyoq,cristian7229945,+56 2 0065 4079,11797741,0,,,,2
Lucas Apodaca Ferrer,Lucasferrer412@outluc.com,5uNcM8ldmQ,Lucasferrer600,+56 2 2489 6344,17869014,10558,,,,0
Amalia Arreola Carrillo,Amaliacarrillo783@viajesanma.com,DBYWX4bQYuoum,Amaliacarrillo404,+56 2 4189 4485,20289289,2820,,,,2
Dorotea Mejía Acevedo,dorotea2336994@edubus.cal,tQzS7VLNuV5i0cCm,dorotea1524736,+56 2 5388 6045,11796100,,,,,1
Juan Carlos Carrera Terrazas,jucacate176@tourket.com,Uxk0uVBKI,Juanterrazas209,+56 9 4376 1672,11976567,5589,,,,6
Esteban Oquendo Guevara,esteban1628932@outluc.com,7pYexkUi,Estebanguevara964,,15908392,848,,,,6
Eva Mata Cepeda,Evacepeda737@edubus.cal,1zFS74vX2,evmace692,+56 2 7051 7043,29265642,,,,,4
Juan Carlos Acevedo Barreto,juan3970653@edubus.cal,OFNpLD58FwOF,Juanbarreto654,+56 2 2411 3942,14624313,11102,,,,4
Sergio Ledesma Esquivel,sergio7457862@tourket.com,4jGz2qfVau1,sergio3952580,+56 9 2798 8654,19105198,0,,,,K
María del Carmen Mata Peralta,madecamape194@viajesanma.com,K2cXHtKKwjh7yRzV,maría9787144,+56 9 1233 3298,28259208,-43202,,,,8
Guillermina Zamudio Tovar,guillermina9251831@edubus.cal,NfjhGMVo0DtJ49,guillermina8139193,+56 2 5403 4992,13893708,14878,,,,9
Ariadna Naranjo Gálvez,Ariadnagálvez137@marmol.com,m5UhLKx6d5DpvcHY,ariadna4684296,+56 2 5924 6865,12720991,0,,,,K
Emilio Orellana Olivárez,emilio9564568@edubus.cal,Q0ocI3dC,emorol519,+56 2 4906 2941,20888373,0,,,,9
Victoria Báez Dueñas,victoria8736123@marmol.com,S6EYd1Rq,vibádu596,+56 9 2682 5016,24400895,2219,,,,K
Germán Riojas Rivas,Germánrivas719@wass.com,l0868CVoKZnT5k,geriri630,+56 9 0082 7572,17075078,3109,,,,0
Rosa Escobedo Delgadillo,rosa6148769@tourket.com,2thTGzi6tBz9T,Rosadelgadillo959,+56 2 7556 2507,24457716,0,,,,4
Sra. Claudia Quiñónez Sánchez,Sra.sánchez672@outluc.com,Y3CA3IDgFjvj3,Sra.sánchez385,+56 9 8894 7961,26389295,,,,,K
Federico Montero Saldaña,Federicosaldaña402@tourket.com,Hj0dOF2y,femosa713,+56 9 6804 8335,23670343,8626,,,,6
María Teresa Tijerina Valencia,maría4022366@marmol.com,TgagXkFfZ4,Maríavalencia295,+56 9 2713 7445,28661271,18377,,,,7
Alfonso Laureano Avilés,alfonso860574@tourket.com,bEoe7OLxRf4P55ZH,allaav584,+56 9 7845 5372,12601250,0,,,,0
Teresa Rojo Zamora,teresa1918326@outluc.com,MB5b7NavnVv,Teresazamora501,+56 2 6089 4740,25874787,0,,,,9
Hernán Burgos Hernández,hernán9175520@edubus.cal,bmLna6MPs,hernán9463251,+56 2 2247 1388,14714658,2084,,,,2
Horacio Bañuelos Fajardo,hobafa743@edubus.cal,auaHmz6gILiOh,Horaciofajardo391,+56 9 6038 8039,28389142,4340,,,,9
Mariano Bravo Quintanilla,Marianoquintanilla475@viajesanma.com,N8qwN5VSc,mariano9729633,+56 9 6749 0504,15432294,0,,,,9
María del Carmen Polanco Ortega,maría8658580@wass.com,dCFiTscwr5TH6SA,Maríaortega474,+56 2 3923 4241,22745384,8947,,,,2
Ramón Saldivar Arredondo,ramón5115143@edubus.cal,etQEcufhA7qpUQ,rasaar469,+56 2 8303 5513,29680422,,,,,3
Federico Solano Gaona,fesoga241@wass.com,Y3bSkRCtkfIM,fesoga402,+56 9 4689 4140,20715270,3768,,,,6
Sta. Alejandro Vázquez Paredes,sta.7659466@edubus.cal,4YdQ1R7wsLKlOCq,stalvápa993,+56 2 6862 7195,27451601,11328,,,,1
Ana Luisa Meza Santillán,anlumesa385@outluc.com,RzsQhUB2N,ana5877179,+56 9 6754 6802,22124764,0,,,,7
Teresa Montalvo Rivera,temori623@tourket.com,LK4CtA6JYBhvl39,temori782,+56 2 6700 4182,18716367,357,,,,6
Salvador Valle Amaya,savaam408@wass.com,fuDjDlOM1MlBu,salvador5026336,+56 2 1462 3377,13802250,4316,,,,1
Santiago Niño Sisneros,sanisi981@outluc.com,9OZ2LlwibIX,Santiagosisneros930,+56 9 3303 2502,23984517,6453,,,,7
Irene Romo Quintana,Irenequintana176@viajes.cl,lPp8ZNP7vCSt,irroqu907,+56 9 8057 8874,23833937,,,Colmena,Part time,5
Mónica Navarrete Guzmán,mónagu274@viajes.cl,ZPo3NdSVSBpnb,mónagu115,+56 9 5909 1248,11158144,,,Colmena,Full time,4
Cristian Echevarría Suárez,Cristiansuárez831@viajesanma.com,Knv03GHDYH9,crecsu680,+56 9 5984 1217,17505068,26164,,,,K
Berta Mejía Angulo,bemean765@wass.com,Ygyv7UYOq01,berta6855889,+56 9 2668 8520,11866169,9520,,,,9
Sancho Villalpando Caraballo,sancho6368448@outluc.com,v75DGzODySQU2mv,sancho4350320,+56 9 5973 9978,26211119,6288,,,,9
Josefina Vera Téllez,Josefinatéllez916@edubus.cal,sKtY0iROknlMTSG,josefina8605455,+56 9 9311 9374,12417924,,,,,6
Jesús Jaramillo Hernandes,Jesúshernandes625@wass.com,c1MRgvRtmB5gXJ,Jesúshernandes872,+56 2 4383 0405,20853339,0,,,,8
Sr. Eduardo Espino Alejandro,sredesal202@marmol.com,FsWNbGI7aPeog2w,Sr.alejandro322,+56 2 3614 2275,15862713,5268,,,,2
Sta. Carolina Dávila Montero,Sta.montero723@edubus.cal,XlYT5muXG,stcadámo241,,22132438,564,,,,2
Virginia Adame Serrato,Virginiaserrato326@edubus.cal,OWsxO3VVxaRt,Virginiaserrato329,+56 9 6530 8675,28169061,14680,,,,2
Micaela Sotelo Porras,micaela4177291@tourket.com,0zB4TeFQT,micaela6583372,+56 2 5210 2783,10370733,9190,,,,1
Juan Cano Salcedo,jucasa710@tourket.com,n1w1e9xfO,jucasa988,+56 2 2906 2840,28635796,,,,,2
Vicente Urbina Valladares,Vicentevalladares956@tourket.com,cF73nrIZ8vP,Vicentevalladares603,+56 2 6276 9063,13313319,18780,,,,4
Estela Ruiz Colón,esruco932@marmol.com,EYN0iambz,estela6738649,+56 2 7721 5152,23316419,15852,,,,4
Julia Dávila Feliciano,judáfe573@viajesanma.com,e7PrNp6s0brs,julia569202,+56 2 5154 9643,25068318,0,,,,9
Carlos Sierra Uribe,Carlosuribe251@viajesanma.com,izdaW2hcWnrydS,carlos2151194,+56 2 2330 0356,28788420,,,,,6
Pedro Gaitán Loya,pedro4252530@wass.com,85Z78kbQfSxJ,pegalo397,+56 9 0742 8457,10569845,6363,,,,3
José Moreno Gastélum,josé2968921@edubus.cal,WrbykHHK2wz2vX0,jomoga101,+56 2 4743 2312,20023984,906,,,,9
Armando Carvajal Espinal,arcaes311@outluc.com,EyCHH4WTca,armando985499,,15161018,0,,,,8
Guadalupe Garay Elizondo,gugael943@outluc.com,PAtO0r7vwR,guadalupe7736285,+56 9 8931 1783,20504790,0,,,,5
Lucia Bernal Verduzco,Luciaverduzco512@marmol.com,s892Etj7BlSJY2,Luciaverduzco374,+56 9 3176 0291,25757044,7042,,,,4
Vicente Raya Valverde,virava360@viajesanma.com,nMzhPhS0nz0,Vicentevalverde628,+56 9 6790 5112,20464731,,,,,3
Sta. Enrique Perea Ayala,sta.7382558@viajesanma.com,C4pTtRjBNg5,Sta.ayala225,+56 9 7181 9024,17636096,0,,,,8
Sta. Manuel Ureña Segovia,sta.179300@wass.com,637H6dekH,Sta.segovia738,+56 9 0379 0519,27882682,,,,,1
Alberto Rentería Zamora,Albertozamora667@wass.com,IBpisquSzVPm5n,alreza142,,28623851,5575,,,,3
Rosa Tórrez Guevara,rotógu154@edubus.cal,7iE4k9Yg1HkN,rotógu382,+56 2 3044 4487,15347151,14458,,,,7
Tomás Cortez Rodarte,tocoro155@outluc.com,M6gQMotCgsvoCVa,Tomásrodarte166,+56 2 1885 1641,13528104,0,,,,2
Roberto Hernández Tamez,roheta334@outluc.com,6EtCJMQ0j3W,Robertotamez699,+56 2 6933 7408,18969753,2112,,,,8
Sergio Hidalgo Ybarra,sehiyb598@tourket.com,VSDFBr5QKlyeK4,sergio7144568,+56 9 4811 6454,21306235,,,,,2
David Magaña Ruiz,david4059688@edubus.cal,Lx2roX6g,Davidruiz599,+56 2 4031 6333,29779944,0,,,,4
Sra. Sara Mota Ávalos,srsamoáv824@edubus.cal,cyTiRx55Qd,Sra.ávalos749,+56 9 9438 5278,14279168,0,,,,4
Marcos Leiva Zelaya,marcos9466158@outluc.com,a0R9JAxaWdTJ8Y,Marcoszelaya488,+56 9 9612 1282,29089183,6842,,,,3
