agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
60218,Aniversario,78514,2025-04-16,183000,3,No disponible,183,,,,23,,,Apple Leisure Group,,,,{},,,,,Irún,,,,,{},,,Aventúrate en la montaña,,,,Paseo,,61000,{},2026-08-09,
62127,Aniversario,78523,2025-04-09,644000,7,No disponible,644,Raquelholguín560@viajes.cl,Valencia,,39,3551,92000,ETN Turistar,2026-11-13,2026-11-15,Cama,"{Calefacción,""Aire acondicionado"",Comida}",{},,{},,,,,,,{},,,,,,,,,,{},,
58286,Vacaciones,78622,2025-12-01,310000,5,No disponible,310,ignacio1104447@viajes.cl,Torremolinos,El Prat de LLobregat,31,641,,Pullman Bus,2026-03-14,2026-03-14,Cama,"{""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},,
63964,Aniversario,78648,2025-11-02,735000,7,No disponible,735,maespa877@viajes.cl,Santa Cruz de Tenerife,Lorca,48,4263,105000,Buses Bio Bio,2026-01-01,2026-01-03,Cama,"{""Asientos reclinables"",Comida,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
63964,Aniversario,78652,2025-01-19,490000,7,No disponible,490,,,,30,,,Luxury Escapes,,,,{},{},,{},,Lorca,,,,,{},,,Relájate en la playa,,,,Aventura,3,70000,{},2026-01-06,
63964,Aniversario,78659,2025-04-24,399000,7,No disponible,399,,,,1,,,Hays Travel,,,,{},{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,,3,,{},2026-01-14,
65694,Cena de Trabajo,78741,2025-08-03,162000,2,No disponible,162,,,,34,,,Travel Leaders Group,,,,{},{},,{},,Parla,,,,,{},,,Relájate en la playa,,,,Tour,7,81000,{},2026-02-04,
64517,Cena de Trabajo,78785,2025-02-04,312000,6,No disponible,312,,,,42,,,Travel Leaders Group,,,,{},{},,{},,Reus,,,,,{},,,Disfruta de un día en la naturaleza,,,,Excursión,5,52000,{},2026-04-18,
61911,Salida con Familia,78923,2026-08-09,416000,8,No disponible,416,,,,,,,Intrepid Travel,,,,,{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,Aventura,7,52000,{},2026-08-13,
59953,Cena de Trabajo,78989,2025-04-20,255000,3,No disponible,255,anpubl651@viajes.cl,Sevilla,Lugo,88,2791,85000,ŽSSK (Eslovaquia),2025-04-27,2025-04-28,,"{Agua,Wifi,Baño,""Aire acondicionado"",Calefacción}",{},,"{""San Cristróbal de la Laguna""}",,,,,,,{},,,,,,,,,,{},,
60046,Aniversario,79018,2025-01-02,130000,7,No disponible,182,,,,,,,,,,,"{Piscina,Spa,Gimnasio,Wifi,Calefacción}",{},,{},Departamento en Telde,,26000,4,2025-01-16,2025-01-21,{},Sta. Dorotea Padilla Jurado,+56 2 0314 8999,Perfecto para familias y grupos grandes,3,3,2,,,,{},,
60046,Aniversario,79021,2025-01-05,455000,7,No disponible,455,,,,13,,,Contiki,,,,{},{},,{},,Telde,,,,,{},,,Descubre la gastronomía local,,,,Paseo,1,65000,{},2025-01-19,
56732,Salida con Amigos,79087,2026-05-22,193000,1,No disponible,193,grmáde153@viajes.cl,Santa Lucía de Tirajana,,8,2458,193000,Italo,2026-10-15,2026-10-16,,"{Calefacción,Baño,Comida,""Asientos reclinables"",Agua}",{},,"{""San Fernando"",Gerona,Telde,Gijón,""San Cristróbal de la Laguna""}",,,,,,,{},,,,,,,,,,{},,
56732,Salida con Amigos,79090,2026-01-26,27000,1,No disponible,27,,,,10,,,Trafalgar,,,,{},{},,{},,Torremolinos,,,,,{},,,Disfruta de un día en la naturaleza,,,,Excursión,1,27000,{},2026-10-18,
59943,Vacaciones,79126,2025-10-19,2844000,9,No disponible,711,,,,,,,,,,,"{Calefacción,Spa,Comida,""Servicio a la habitación"",""Aire acondicionado""}",{},,{},Hilton Hotels & Resorts,,79000,3,2025-10-22,2025-10-26,"{""Check-in después de las 3 PM"",""No se permiten mascotas"",""Check-out antes de las 11 AM""}",,,,,,,,,,,,
65182,Cena de Trabajo,79181,2025-01-13,232000,4,No disponible,232,josé6774317@viajes.cl,Madrid,San Sebastián,23,1178,58000,Amtrak,2025-02-07,2025-02-07,,"{Wifi,Comida,""Asientos reclinables""}",,,"{Estepona,Marbella}",,,,,,,{},,,,,,,,,,{},,
61312,Salida con Familia,79191,2026-03-02,1740000,6,No disponible,1740,luis2971637@viajes.cl,Collado Villalba,Mollet del Vallés,34,2887,290000,ZSSK (Eslovaquia),2026-08-05,2026-08-07,,"{""Asientos reclinables"",Agua,""Aire acondicionado"",Wifi,Baño,Comida}",{},,"{Logroño,Baracaldo,Oviedo,Badalona}",,,,,,,{},,,,,,,,,,{},,
55943,Salida con Familia,79230,2026-04-30,95000,5,No disponible,95,,,,47,,,Gray Line,,,,,{},,{},,Vitoria,,,,,{},,,Disfruta de un día en la naturaleza,,,,Tour,7,19000,{},2026-05-19,
58270,Vacaciones,79249,2025-08-03,275000,5,No disponible,275,,,,37,,,Kuoni,,,,{},{},,{},,El Puerto de Santa María,,,,,{},,,Aventúrate en la montaña,,,,Excursión,7,55000,{},2026-04-21,
66274,Salida con Familia,79299,2025-03-19,288000,3,No disponible,288,genade978@viajes.cl,Murcia,Estepona,90,1863,96000,ZS (Eslovenia),2025-10-02,,,"{""Asientos reclinables"",Comida,Calefacción,Agua}",{},,"{""Pozuelo de Alarcón""}",,,,,,,{},,,,,,,,,,{},,
56338,Salida con Amigos,79340,2025-01-15,522000,9,No disponible,522,,,,1,,,Intrepid Travel,,,,{},{},,{},,Santa Cruz de Tenerife,,,,,{},,,Descubre la gastronomía local,,,,Visita,3,58000,{},2025-02-01,
62695,Cena de Trabajo,79374,2025-09-07,153000,3,No disponible,153,,,,26,,,Expedia Group,,,,{},{},,{},,Jerez de la Frontera,,,,,,,,Aventúrate en la montaña,,,,Tour,4,51000,{},2026-06-10,
62695,Cena de Trabajo,79376,2025-12-11,228000,3,No disponible,228,,,,5,,,G Adventures,,,,,{},,{},,,,,,,{},,,Conoce la historia de la ciudad,,,,Excursión,2,76000,{},2026-06-12,
62695,Cena de Trabajo,79380,2026-03-17,249000,3,No disponible,249,,,,24,,,G Adventures,,,,{},{},,{},,Burgos,,,,,{},,,Aventúrate en la montaña,,,,Tour,7,83000,{},2026-06-16,
62695,Cena de Trabajo,79384,2025-01-29,186000,3,No disponible,186,,,,5,,,Contiki,,,,{},{},,{},,Burgos,,,,,,,,Descubre la gastronomía local,,,,Visita,4,62000,{},2026-06-20,
64738,Salida con Familia,79437,2025-02-13,220000,5,No disponible,220,sranlusagu985@viajes.cl,Cerdañola del Vallés,Badajoz,34,467,44000,Via Bariloche,2025-10-01,2025-10-01,Cama,"{TV,""Aire acondicionado"",Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
60405,Cena de Trabajo,79465,2026-04-23,320000,4,No disponible,320,,,,1,,,Booking Holdings,,,,,{},,{},,Roquetas de Mar,,,,,{},,,Descubre la gastronomía local,,,,Paseo,2,,{},2026-08-24,
62751,Salida con Amigos,79471,2025-07-31,335000,2,No disponible,134,,,,,,,,,,,"{Jacuzzi,Calefacción,Balcón,""Servicio a la habitación"",""Vista al mar""}",{},,{},,Linares,67000,,2026-07-25,2026-07-30,{},Felipe Saucedo Cedillo,+56 2 1901 7096,Descubre la historia de la ciudad desde tu ventana,3,4,3,,,,{},,
61268,Cena de Trabajo,79505,2025-02-02,228000,6,No disponible,228,,,,37,,,Kuoni,,,,{},{},,{},,Oviedo,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,6,38000,{},,
62377,Vacaciones,79519,2025-01-20,360000,9,No disponible,360,,,,4,,,American Express Global Business Travel,,,,{},{},,{},,Coslada,,,,,{},,,Aventúrate en la montaña,,,,Visita,3,40000,{},2025-03-18,
63909,Salida con Amigos,79576,2025-10-16,188000,2,No disponible,188,esurne394@viajes.cl,Barcelona,Bilbao,47,3241,94000,Via Bariloche,2026-10-06,2026-10-08,Cama,"{Wifi,Baño,Agua}",{},,,,,,,,,{},,,,,,,,,,{},,
63288,Aniversario,79631,2025-02-20,155000,5,No disponible,155,,,,21,,,G Adventures,,,,{},,,{},,Elda,,,,,{},,,Conoce la historia de la ciudad,,,,Paseo,3,,{},2025-04-14,
66392,Cena de Trabajo,79642,2025-10-24,1000000,10,No disponible,1000,Victoriamireles521@viajes.cl,Benidorm,Jaén,,3440,-100000,Alsa,2026-04-15,2026-04-17,Cama,"{Baño,Calefacción,""Aire acondicionado""}",{},,,,,,,,,{},,,,,,,,,,{},,
57971,Salida con Amigos,79685,2025-03-26,732000,2,No disponible,732,macaar807@viajes.cl,Palma de Mallorca,Toledo,42,4005,366000,Qatar Airways,2025-08-22,2025-08-24,,{},"{Coslada,Oviedo}",Primera clase,{},,,,,,,{},,,,,,,,,,{},,
64810,Aniversario,79723,2025-02-06,42000,4,No disponible,56,,,,,,,,,,,"{Comida,Spa,TV,Calefacción,Baño}",,,{},,Santa Lucía de Tirajana,14000,4,2025-09-06,2025-09-09,{},José Quiroz Casárez,+56 2 3963 3073,Aventúrate en la naturaleza y descansa en un lugar cómodo,3,5,3,,,,{},,
58711,Salida con Familia,79863,2026-05-25,448000,7,No disponible,448,francisco4411563@viajes.cl,Jaén,San Sebastián,8,1118,64000,,2026-09-26,2026-09-26,,"{Baño,Calefacción,""Asientos reclinables""}",{},,"{Barcelona,Telde,Lorca}",,,,,,,{},,,,,,,,,,,,
58711,Salida con Familia,79865,2025-05-30,456000,7,No disponible,532,,,,,,,,,,,"{Agua,""Vista al mar"",Calefacción,Chimenea,""Aire acondicionado""}",{},,{},,Valencia,76000,4,2026-09-28,,{},Amalia Trujillo Delafuente,+56 9 8405 8986,,5,5,3,,,,{},,
