agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
58555,Vacaciones,81917,2025-01-01,258000,5,No disponible,215,,,,,,,,,,,"{Calefacción,Agua,Balcón,Comida,Jacuzzi}",{},,{},Loft en Santiago de Compostela,Santiago de Compostela,43000,1,2025-09-12,2025-09-18,{},Sr. Ángela Oquendo Delatorre,+56 9 3422 8011,Ideal para una escapada romántica,2,3,2,,,,,,
63258,Vacaciones,82247,2025-09-14,102000,8,No disponible,272,,,,,,,,,,,"{Gimnasio,Piscina,Calefacción,""Vista al mar"",""Servicio a la habitación""}",{},,{},Habitación en Gijón,Gijón,34000,1,2026-03-11,2026-03-14,{},Óscar Zepeda Serna,+56 2 6695 9689,Relájate en un lugar tranquilo y acogedor,2,3,2,,,,{},,
57703,Salida con Amigos,82548,2025-01-09,312000,5,No disponible,520,,,,,,,,,,,"{Baño,""Asientos reclinables"",Wifi,Agua,TV}",{},,{},Casa en Palencia,Palencia,104000,4,2025-02-20,2025-02-23,{},Armando Esparza Jáquez,+56 2 0945 3987,Ubicación céntrica con fácil acceso a atracciones turísticas,6,6,3,,,,{},,
58673,Salida con Familia,83590,2025-12-15,894000,9,No disponible,1341,,,,,,,,,,,"{""Vista al mar"",Baño,Wifi,Comida,Spa}",{},,{},Departamento en Estepona,Estepona,149000,2,2026-11-27,2026-12-03,{},Julio Roybal Ávila,+56 2 8974 9384,Experimenta el lujo y la comodidad en este alojamiento,6,5,3,,,,{},,
60737,Vacaciones,83921,2025-01-05,36000,4,No disponible,24,,,,,,,,,,,"{Balcón,""Asientos reclinables"",""Vista al mar"",Agua,""Servicio a la habitación""}",{},,{},Villa en Mijas,Mijas,6000,3,2025-05-31,2025-06-06,{},Benito Cantú Echevarría,+56 9 5531 9867,Ubicación céntrica con fácil acceso a atracciones turísticas,6,5,3,,,,{},,
61226,Cena de Trabajo,85283,2026-02-04,325000,6,No disponible,390,,,,,,,,,,,"{Comida,Gimnasio,Wifi,""Asientos reclinables"",Jacuzzi}",{},,{},Estudio en Palencia,Palencia,65000,3,2026-11-08,2026-11-13,{},Josefina Cortez Reyna,+56 2 9741 2486,Aventúrate en la naturaleza y descansa en un lugar cómodo,4,3,2,,,,{},,
61577,Aniversario,86577,2026-02-24,395000,5,No disponible,395,,,,,,,,,,,"{""Aire acondicionado"",""Asientos reclinables"",Baño,Jacuzzi,""Vista al mar""}",{},,{},Estudio en Orihuela,Orihuela,79000,3,2026-11-28,2026-12-03,{},Juan Navarrete Chávez,+56 9 0678 4982,Ideal para una escapada romántica,4,4,3,,,,{},,
63003,Aniversario,90120,2025-01-03,184000,6,No disponible,276,,,,,,,,,,,"{Comida,""Aire acondicionado"",Spa,Wifi,""Servicio a la habitación""}",{},,{},Estudio en Molina de Segura,Molina de Segura,46000,1,2025-01-05,2025-01-09,{},Julio César Lomeli Batista,+56 2 4008 3838,Perfecto para familias y grupos grandes,3,3,1,,,,{},,
62766,Salida con Amigos,90720,2025-01-09,139000,9,No disponible,1251,,,,,,,,,,,"{""Servicio a la habitación"",""Aire acondicionado"",Jacuzzi,Gimnasio,TV}",{},,{},Suite en Sevilla,Sevilla,139000,5,2025-04-03,2025-04-04,{},Mónica Águilar Vaca,+56 2 0855 4005,Aventúrate en la naturaleza y descansa en un lugar cómodo,5,4,4,,,,{},,
60199,Salida con Familia,90934,2025-03-26,220000,7,No disponible,385,,,,,,,,,,,"{Agua,Comida,TV,Wifi,Chimenea}",{},,{},Departamento en Orihuela,Orihuela,55000,5,2026-05-21,2026-05-25,{},Sra. Javier Meléndez Valencia,+56 2 5203 9342,Experimenta el lujo y la comodidad en este alojamiento,3,4,3,,,,{},,
