agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
60218,Aniversario,78514,2025-04-16,183000,3,No disponible,183,,,,23,,,Apple Leisure Group,,,,{},,,,,Irún,,,,,{},,,Aventúrate en la montaña,,,,Paseo,,61000,{},2026-08-09,
62127,Aniversario,78523,2025-04-09,644000,7,No disponible,644,Raquelholguín560@viajes.cl,Valencia,,39,3551,92000,ETN Turistar,2026-11-13,2026-11-15,Cama,"{Calefacción,""Aire acondicionado"",Comida}",{},,{},,,,,,,{},,,,,,,,,,{},,
58286,Vacaciones,78622,2025-12-01,310000,5,No disponible,310,ignacio1104447@viajes.cl,Torremolinos,El Prat de LLobregat,31,641,,Pullman Bus,2026-03-14,2026-03-14,Cama,"{""Aire acondicionado"",Comida,""Asientos reclinables""}",{},,{},,,,,,,{},,,,,,,,,,{},,
63964,Aniversario,78648,2025-11-02,735000,7,No disponible,735,maespa877@viajes.cl,Santa Cruz de Tenerife,Lorca,48,4263,105000,Buses Bio Bio,2026-01-01,2026-01-03,Cama,"{""Asientos reclinables"",Comida,Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
63964,Aniversario,78659,2025-04-24,399000,7,No disponible,399,,,,1,,,Hays Travel,,,,{},{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,,3,,{},2026-01-14,
61911,Salida con Familia,78923,2026-08-09,416000,8,No disponible,416,,,,,,,Intrepid Travel,,,,,{},,{},,,,,,,{},,,Aventúrate en la montaña,,,,Aventura,7,52000,{},2026-08-13,
59953,Cena de Trabajo,78989,2025-04-20,255000,3,No disponible,255,anpubl651@viajes.cl,Sevilla,Lugo,88,2791,85000,ŽSSK (Eslovaquia),2025-04-27,2025-04-28,,"{Agua,Wifi,Baño,""Aire acondicionado"",Calefacción}",{},,"{""San Cristróbal de la Laguna""}",,,,,,,{},,,,,,,,,,{},,
60046,Aniversario,79018,2025-01-02,130000,7,No disponible,182,,,,,,,,,,,"{Piscina,Spa,Gimnasio,Wifi,Calefacción}",{},,{},Departamento en Telde,,26000,4,2025-01-16,2025-01-21,{},Sta. Dorotea Padilla Jurado,+56 2 0314 8999,Perfecto para familias y grupos grandes,3,3,2,,,,{},,
56732,Salida con Amigos,79087,2026-05-22,193000,1,No disponible,193,grmáde153@viajes.cl,Santa Lucía de Tirajana,,8,2458,193000,Italo,2026-10-15,2026-10-16,,"{Calefacción,Baño,Comida,""Asientos reclinables"",Agua}",{},,"{""San Fernando"",Gerona,Telde,Gijón,""San Cristróbal de la Laguna""}",,,,,,,{},,,,,,,,,,{},,
59943,Vacaciones,79126,2025-10-19,2844000,9,No disponible,711,,,,,,,,,,,"{Calefacción,Spa,Comida,""Servicio a la habitación"",""Aire acondicionado""}",{},,{},Hilton Hotels & Resorts,,79000,3,2025-10-22,2025-10-26,"{""Check-in después de las 3 PM"",""No se permiten mascotas"",""Check-out antes de las 11 AM""}",,,,,,,,,,,,
65182,Cena de Trabajo,79181,2025-01-13,232000,4,No disponible,232,josé6774317@viajes.cl,Madrid,San Sebastián,23,1178,58000,Amtrak,2025-02-07,2025-02-07,,"{Wifi,Comida,""Asientos reclinables""}",,,"{Estepona,Marbella}",,,,,,,{},,,,,,,,,,{},,
61312,Salida con Familia,79191,2026-03-02,1740000,6,No disponible,1740,luis2971637@viajes.cl,Collado Villalba,Mollet del Vallés,34,2887,290000,ZSSK (Eslovaquia),2026-08-05,2026-08-07,,"{""Asientos reclinables"",Agua,""Aire acondicionado"",Wifi,Baño,Comida}",{},,"{Logroño,Baracaldo,Oviedo,Badalona}",,,,,,,{},,,,,,,,,,{},,
66274,Salida con Familia,79299,2025-03-19,288000,3,No disponible,288,genade978@viajes.cl,Murcia,Estepona,90,1863,96000,ZS (Eslovenia),2025-10-02,,,"{""Asientos reclinables"",Comida,Calefacción,Agua}",{},,"{""Pozuelo de Alarcón""}",,,,,,,{},,,,,,,,,,{},,
62695,Cena de Trabajo,79376,2025-12-11,228000,3,No disponible,228,,,,5,,,G Adventures,,,,,{},,{},,,,,,,{},,,Conoce la historia de la ciudad,,,,Excursión,2,76000,{},2026-06-12,
64738,Salida con Familia,79437,2025-02-13,220000,5,No disponible,220,sranlusagu985@viajes.cl,Cerdañola del Vallés,Badajoz,34,467,44000,Via Bariloche,2025-10-01,2025-10-01,Cama,"{TV,""Aire acondicionado"",Calefacción}",{},,{},,,,,,,{},,,,,,,,,,{},,
60405,Cena de Trabajo,79465,2026-04-23,320000,4,No disponible,320,,,,1,,,Booking Holdings,,,,,{},,{},,Roquetas de Mar,,,,,{},,,Descubre la gastronomía local,,,,Paseo,2,,{},2026-08-24,
62751,Salida con Amigos,79471,2025-07-31,335000,2,No disponible,134,,,,,,,,,,,"{Jacuzzi,Calefacción,Balcón,""Servicio a la habitación"",""Vista al mar""}",{},,{},,Linares,67000,,2026-07-25,2026-07-30,{},Felipe Saucedo Cedillo,+56 2 1901 7096,Descubre la historia de la ciudad desde tu ventana,3,4,3,,,,{},,
61268,Cena de Trabajo,79505,2025-02-02,228000,6,No disponible,228,,,,37,,,Kuoni,,,,{},{},,{},,Oviedo,,,,,{},,,Conoce la historia de la ciudad,,,,Visita,6,38000,{},,
63909,Salida con Amigos,79576,2025-10-16,188000,2,No disponible,188,esurne394@viajes.cl,Barcelona,Bilbao,47,3241,94000,Via Bariloche,2026-10-06,2026-10-08,Cama,"{Wifi,Baño,Agua}",{},,,,,,,,,{},,,,,,,,,,{},,
63288,Aniversario,79631,2025-02-20,155000,5,No disponible,155,,,,21,,,G Adventures,,,,{},,,{},,Elda,,,,,{},,,Conoce la historia de la ciudad,,,,Paseo,3,,{},2025-04-14,
66392,Cena de Trabajo,79642,2025-10-24,1000000,10,No disponible,1000,Victoriamireles521@viajes.cl,Benidorm,Jaén,,3440,-100000,Alsa,2026-04-15,2026-04-17,Cama,"{Baño,Calefacción,""Aire acondicionado""}",{},,,,,,,,,{},,,,,,,,,,{},,
57971,Salida con Amigos,79685,2025-03-26,732000,2,No disponible,732,macaar807@viajes.cl,Palma de Mallorca,Toledo,42,4005,366000,Qatar Airways,2025-08-22,2025-08-24,,{},"{Coslada,Oviedo}",Primera clase,{},,,,,,,{},,,,,,,,,,{},,
64810,Aniversario,79723,2025-02-06,42000,4,No disponible,56,,,,,,,,,,,"{Comida,Spa,TV,Calefacción,Baño}",,,{},,Santa Lucía de Tirajana,14000,4,2025-09-06,2025-09-09,{},José Quiroz Casárez,+56 2 3963 3073,Aventúrate en la naturaleza y descansa en un lugar cómodo,3,5,3,,,,{},,
58711,Salida con Familia,79863,2026-05-25,448000,7,No disponible,448,francisco4411563@viajes.cl,Jaén,San Sebastián,8,1118,64000,,2026-09-26,2026-09-26,,"{Baño,Calefacción,""Asientos reclinables""}",{},,"{Barcelona,Telde,Lorca}",,,,,,,{},,,,,,,,,,,,
58711,Salida con Familia,79865,2025-05-30,456000,7,No disponible,532,,,,,,,,,,,"{Agua,""Vista al mar"",Calefacción,Chimenea,""Aire acondicionado""}",{},,{},,Valencia,76000,4,2026-09-28,,{},Amalia Trujillo Delafuente,+56 9 8405 8986,,5,5,3,,,,{},,
58711,Salida con Familia,79870,2025-09-22,175000,7,No disponible,175,,,,27,,,Secret Escapes,,,,{},{},,{},,Valencia,,,,,{},,,Conoce la historia de la ciudad,,,,,4,25000,{},2026-10-03,
66438,Aniversario,79878,2025-01-27,174000,6,No disponible,174,,,,17,,,BCD Travel,,,,{},{},,{},,Valencia,,,,,{},,,Aventúrate en la montaña,,,,Aventura,1,,{},2025-04-13,
60649,Salida con Amigos,79946,2025-10-30,1880000,10,No disponible,1880,Sra.loera788@viajes.cl,Avilés,Santa Lucía de Tirajana,44,4151,188000,El Rápido Internacional,2025-11-12,2025-11-14,Cama,"{Wifi,Agua,""Aire acondicionado""}",,,{},,,,,,,{},,,,,,,,,,,,
59031,Cena de Trabajo,80049,2025-01-02,140000,7,No disponible,980,,,,,,,,,,,"{Comida,Balcón,Jacuzzi,Spa,Piscina}",{},,{},Loft en Pontevedra,Pontevedra,-140000,89,2025-06-10,2025-06-11,{},Lucas Palomino Melgar,+56 9 1823 9073,Relájate en un lugar tranquilo y acogedor,4,4,4,,,,{},,
63828,Cena de Trabajo,80053,2025-06-16,441000,7,No disponible,441,marcos890811@viajes.cl,Avilés,,40,419,63000,NS International,2025-07-19,2025-07-19,,{},{},,,,,,,,,{},,,,,,,,,,{},,
59417,Salida con Familia,80110,2025-11-19,340000,4,No disponible,340,sra.1459233@viajes.cl,Córdoba,,64,749,85000,Frontier Airlines,2026-09-23,2026-09-23,,{},{Huelva},Clase económica,{},,,,,,,{},,,,,,,,,,{},,
59417,Salida con Familia,80112,2025-08-06,390000,4,No disponible,520,,,,,,,,,,,,,,{},Casa en San Cristróbal de la Laguna,San Cristróbal de la Laguna,,3,,2026-09-28,{},Ariadna Regalado Frías,+56 2 5191 5296,Ubicación céntrica con fácil acceso a atracciones turísticas,6,6,3,,,,{},,
59772,Aniversario,80227,2026-05-14,679000,7,No disponible,679,eva5525398@viajes.cl,Santa Cruz de Tenerife,Santiago de Compostela,39,2433,,Via Bariloche,2026-09-07,2026-09-08,Cama,"{Baño,""Asientos reclinables"",TV}",,,{},,,,,,,{},,,,,,,,,,{},,
59772,Aniversario,80229,2025-05-26,154000,7,No disponible,154,,,,22,,,Flight Centre Travel Group,,,,{},{},,{},,Santiago de Compostela,,,,,,,,Conoce la historia de la ciudad,,,,Excursión,7,,{},2026-09-09,
