panorama_id,nombre,edad
,Lola Baca Leiva,75
103826,Luz Gil Dueñas,-16
104988,,47
106989,Juan Tello Muro,-11
78416,,34
,Tomás Nazario Haro,24
,Florencia Serna Morales,27
,María Teresa Arce Estrada,110
78433,,28
78434,José Luis Cadena Salas,-28
,Luz Vargas Maldonado,19
,,47
,Jorge Arce Saldaña,109
78437,,68
78438,,104
78438,,
78438,Samuel Delgadillo Delagarza,-18
78443,,103
78443,,56
78446,,52
78449,,75
97222,,32
,Carmen Arguello Borrego,101
78450,Lourdes Blanco Garay,-60
78450,,99
,Graciela Esquibel Pichardo,68
,,37
78458,Sr. César Echevarría Sauceda,-54
78469,Sr. Martín Terrazas Villarreal,-37
,Eloisa Urías Atencio,54
78470,Conchita Delgado Polanco,-45
78471,,94
,Vicente Villaseñor Camacho,88
78471,,67
78471,,110
78477,,62
78496,Florencia Matías Rosas,-64
78496,,13
,Andrea Haro Cotto,23
78503,,4
,Esteban Juárez Robledo,30
78504,,52
,Clemente Portillo Arredondo,54
118559,,44
,José María Montemayor Merino,43
78506,Elvira Villarreal Lozano,-105
,,8
78506,,6
,Sta. Guillermo Beltrán Heredia,55
78508,,109
,Isabela García Borrego,77
78528,Pilar Guerrero Rascón,-68
78528,,27
,Mario Urrutia Villareal,24
78529,Alejandro Rosales Delarosa,-35
,Benjamín Gonzales Solorio,
78537,Cecilia Jaramillo Lara,-110
,Sta. Martín Páez Salcido,60
78547,,54
,Verónica Arevalo Saavedra,
,César Ojeda Valles,101
,Fernando Valentín Peña,-25
78553,,38
,Dorotea Carrion Jáquez,
78555,Patricio Serrato Vélez,-86
78556,Carlos Corrales Salinas,-74
78556,Santiago Sarabia Franco,-105
78577,Sta. Verónica Alarcón Razo,-6
78588,,78
78594,Sonia Villarreal Valenzuela,-95
,Sta. Homero Delgado Terán,19
,Sra. Sara Sisneros Núñez,72
,José María Aponte Pineda,105
,Irene Chapa Alicea,35
78606,,87
,María Elena Mendoza Zamora,
78608,,3
78612,Homero Salcedo Garza,-44
78617,,63
,Blanca Rodarte Collazo,94
,Florencia Mena Morales,-63
78619,Cristian Leal Rubio,-13
78621,Manuela Saldivar Holguín,-108
,Alejandro Montero Arias,93
78629,,28
,,104
78629,,56
,Claudia Angulo Villegas,61
78636,,74
,Ricardo Barrera Díaz,63
78645,,108
78653,Sra. César Casas Sedillo,-15
,Andrés Rodríquez Elizondo,71
78656,Horacio Cabán Orozco,-30
78656,,83
,Sta. Elvira Bravo Hinojosa,96
,Miguel Limón Mendoza,88
78657,,97
78658,,7
78658,Raquel Baca Valencia,-110
78658,,44
,Irene Frías Verduzco,78
78660,María José Domínquez Cintrón,-78
78660,,76
,Sra. Claudio Bueno Mota,69
78660,,107
,Ana Laureano Carranza,17
,Julio Chacón Vanegas,75
,Sta. Gregorio Sarabia Ceballos,72
78671,,19
78673,Martín Pagan Casas,-78
,Sr. Arturo Vélez Tapia,91
78683,,9
,Vicente Maya Canales,60
,Sra. Claudia Cotto González,71
,Cristina Quiñones Fernández,84
78693,,27
78732,,66
78708,,77
78708,,39
,Sta. Verónica Alanis Quiroz,36
78709,Horacio Collazo Quintanilla,-86
,María Teresa Luna Rodarte,
78711,Catalina Rodarte Matías,-31
78714,,39
,Bernardo Guillen Lerma,39
78725,,74
,Sr. Jesús Barrera Gracia,51
,Julio César Luna Madera,63
78731,,23
,Sta. Francisca Delao Hernández,96
78750,,-34
78755,,90
,Sta. Gloria Márquez Chavarría,110
78770,Agustín Tejeda Jaramillo,-34
,Pedro Perea Carrasco,97
,Guillermo Fuentes Cotto,77
78776,Cristian Tijerina Sauceda,-45
,Agustín Arroyo Chávez,95
78781,Sonia Acosta Irizarry,-12
78782,,52
,María Eugenia Peña Estrada,15
78785,,44
78789,Sr. Federico Gracia Henríquez,-106
,Elena Abreu Ramos,109
,Vicente Roybal Matías,94
78792,,16
,Fernando Delagarza Feliciano,88
78793,,102
78799,,34
78801,,31
,Sr. Eloisa Llamas Pacheco,-10
78805,Alberto Alcántar Espinosa,-49
78806,,67
78806,Martín Riojas Maestas,-48
78807,,106
,Diana Vargas Varela,73
78812,,8
,Clara Armas Tejada,11
78814,Blanca Alejandro Montañez,-68
,Jorge Luis Duran Alaniz,103
78826,Susana Acuña Meza,-54
,Joaquín Ceja Frías,38
,Irene Alarcón Ávila,92
78833,Francisca Tafoya Garay,-10
78833,,107
,Isabela Corral Pérez,21
,Julio Arias Solano,72
,Sra. Germán Chávez Mesa,-87
78848,,53
,Lilia Valdés Montaño,67
,Teodoro Merino Valles,55
78857,,22
78864,,31
78866,Jacobo Montoya Hinojosa,-11
78870,,58
78870,,13
78886,Alfonso Ureña Alfaro,-75
78887,,34
,Sr. Marta Macías Valverde,57
78896,Yolanda Tovar Castro,-87
78903,,74
78903,,64
,Mónica Miramontes Alarcón,34
78904,,79
,Barbara Matos Salcido,20
78904,Jerónimo Márquez Carreón,-90
78905,Ignacio Carvajal Cerda,-96
,Ernesto Quintanilla Palomino,84
,Juan Carlos Marroquín León,47
78915,Cecilia Narváez Espinal,-101
,Alejandro Ledesma Gutiérrez,3
78919,Gregorio Castellanos Mejía,-35
,Adriana Rivera Preciado,
78922,Alfredo Santana Garica,-95
78923,Laura Godínez Espinal,-82
,Alejandro López Jaime,18
,Sr. Eva Salcedo Gurule,63
78934,,80
78934,,40
78935,,95
,Rafael Narváez Domínguez,97
78936,,58
78937,Anita Mesa Roque,-60
,Sra. Ester Arguello Olivárez,67
,Sr. José María Fernández Rael,53
78947,Óscar Guerra Cruz,-34
,Irene Valencia Villegas,76
,Raquel Santana Barraza,71
78949,,70
,Sta. Ignacio Vera Véliz,4
,Cecilia Duran Ozuna,40
