nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sr. Esperanza Arias Zaragoza,sr.3134211@viajes.cl,8Fj4kntcmWs6O,Sr.zaragoza542,+56 2 7287 9157,6227631,,Diurno,Colmena,Part time,2
María del Carmen Velásquez Paredes,Maríaparedes646@outluc.com,7pBFv1iv4zd,,+56 2 2948 9493,10481144,0,,,,2
Victoria Sepúlveda Nava,visena471@viajesanma.com,aS9BJ2dlc,Victorianava247,+56 9 5159 8002,3375352,20056,,,,7
Vicente Tórrez Angulo,vitóan636@viajes.cl,B3X5uZ6F9W,vicente4434665,+56 9 9927 2377,8884197,,Nocturno,Consalud,Full time,2
Amalia Torres Macías,amalia8518314@viajes.cl,,amalia5742883,+56 9 2320 7364,29209609,,Nocturno,Consalud,Part time,7
Horacio Núñez Zamudio,honúza973@viajes.cl,LjBB5s2XwjHc0H2A,horacio7004884,+56 9 1252 8240,3033322,,Diurno,Banmédica,Part time,5
Javier Esquivel Pineda,,EfoLl0t3O5w3q,jaespi269,+56 9 7542 1937,13892845,,Diurno,Más vida,Full time,4
Fernando Almaraz Rivero,fernando9516886@viajes.cl,XeXFRd6UX2p,fealri559,+56 9 0757 4618,4245897,,Nocturno,Más vida,,K
Gloria Castro Girón,Gloriagirón280@tourket.com,,glcagi501,+56 2 4706 4379,25658953,0,,,,2
María Eugenia Sosa Sisneros,maeusosi613@viajesanma.com,E3Kt56SlwwQQMrVN,maría3615408,+56 2 7181 0244,,396,,,,
,alicia4603247@outluc.com,,Aliciaportillo569,+56 9 6960 6562,26258786,0,,,,K
Gloria Esparza Saucedo,gloria5976977@marmol.com,1z8trupWyKUfN,glessa368,+56 9 8230 5946,7629293,,,,,0
,maricarmen7666586@edubus.cal,NHcqrhrdKnKeL3z,maricarmen1891224,+56 2 9241 1198,8356729,15447,,,,5
Rafael Canales Tamayo,Rafaeltamayo937@outluc.com,,Rafaeltamayo631,+56 2 9848 0163,14291542,0,,,,1
César Alejandro Beltrán,céalbe602@outluc.com,,,+56 9 6507 6863,16378798,23868,,,,9
Mario Terán Ocasio,Marioocasio558@tourket.com,ow2XRdO8xQrvkTe,mario1581363,+56 9 9188 3122,,15988,,,,
Luis Miguel Arguello Ulibarri,Luisulibarri495@outluc.com,JeMxFC8fkq1mTe4,,+56 2 5805 7964,10145933,0,,,,0
Silvia Ayala Paredes,siaypa710@viajesanma.com,nfHIet8dE292,Silviaparedes473,+56 9 0288 4765,,4413,,,,
Adela Estévez Valadez,Adelavaladez917@viajes.cl,5ZEiEB18DVgg7,adesva669,+56 9 1658 2783,,,Diurno,Colmena,Part time,
Elena Puente Rascón,,RT8qvA2pt,Elenarascón584,+56 9 2903 1620,22030988,0,,,,6
Federico Segura Gonzales,Federicogonzales535@edubus.cal,Vjj6aFZDzV2dV,,+56 2 1541 6895,,5184,,,,
Timoteo Casas de Anda,timoteo7741506@viajes.cl,8aEsBCGEdq,ticadean651,+56 2 3950 7465,,,Nocturno,Banmédica,Part time,
Sr. Pablo Solorio Olivera,srpasool693@edubus.cal,7pqKcEWwhKaYD,Sr.olivera464,+56 2 1746 8469,1148395,1164,,,,K
Rafael Solorzano Guzmán,rasogu224@viajes.cl,59JkacjCp,rasogu744,+56 2 5714 6119,1284257,,Diurno,Fonasa,Part time,0
Sra. Sancho Maya Rentería,Sra.rentería193@wass.com,xCxr0y0SN7,sra.1284367,,,0,,,,
Roberto Delvalle Merino,roberto6254109@viajes.cl,,roberto652719,+56 9 2830 7539,-28550826,,Nocturno,,Full time,6
