agenda_id,etiqueta,reserva_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,tipo_bus,comodidades,escalas,clase,paradas,nombre_hospedaje,ubicacion,precio_noche,estrellas,fecha_checkin,fecha_checkout,politicas,nombre_anfitrion,contacto_anfitrion,descripcion_airbnb,piezas,camas,banos,nombre_panorama,duracion,precio_persona,restricciones,fecha_panorama,correo_usuario
65018,Salida con Amigos,83290,2025-02-19,1270000,10,No disponible,1270,vípama583@viajes.cl,Alcalá de Henares,Tarrasa,26,2646,127000,Turkish Airlines,2025-06-07,2025-06-08,,{},"{Tarragona,Getafe,Málaga}",Primera clase,,,,,,,,,,,,,,,,,,{},,
66529,Aniversario,89158,2025-12-16,868000,7,No disponible,868,Fernandolomeli208@viajes.cl,Manresa,Santa Cruz de Tenerife,25,2774,124000,Delta Air Lines,2026-11-17,2026-11-18,,{},{Albacete},Primera clase,,,,,,,,{},,,,,,,,,,{},,
58351,Vacaciones,99164,2025-01-13,425000,5,No disponible,425,reciso597@viajes.cl,Castellón de la Plana,Gijón,20,752,85000,CFR (Rumania),2025-01-27,2025-01-27,,,{},,{},,,,,,,{},,,,,,,,,,{},,
59966,Cena de Trabajo,101058,2025-03-23,792000,9,No disponible,792,stóspaab867@viajes.cl,San Sebastían de los Reyes,Pontevedra,41,3916,88000,Futura,2025-03-26,2025-03-28,Cama,,{},,{},,,,,,,,,,,,,,,,,{},,
60172,Salida con Familia,108013,2026-03-14,522000,3,No disponible,522,rebeca2742263@viajes.cl,Valencia,Murcia,38,3192,174000,El Rápido Internacional,2026-08-21,2026-08-23,Cama,"{Wifi,Baño,""Asientos reclinables""}",{},,,,,,,,,{},,,,,,,,,,{},,
57241,Salida con Amigos,122004,2026-02-12,234000,3,No disponible,234,Albertoybarra929@viajes.cl,Lorca,Torrelavega,32,3655,78000,Estrella Roja,2026-06-22,2026-06-24,Cama,,{},,{},,,,,,,{},,,,,,,,,,{},,
65917,Salida con Amigos,124662,2025-05-17,275000,1,No disponible,275,alchva980@viajes.cl,Alcobendas,Mollet del Vallés,42,2219,275000,ÖBB (Austria),2026-05-07,2026-05-08,,"{Calefacción,Wifi,""Asientos reclinables"",""Aire acondicionado"",Agua}",{},,,,,,,,,{},,,,,,,,,,{},,
56850,Vacaciones,132114,2025-03-27,1992000,4,No disponible,1992,Marcoscorrales762@viajes.cl,Palma de Mallorca,Inca,24,3679,498000,Japan Airlines,2025-06-16,2025-06-18,,{},"{Zamora,Lérida,Vitoria,Baracaldo}",,,,,,,,,{},,,,,,,,,,{},,
65009,Cena de Trabajo,132920,2025-04-04,788000,4,No disponible,788,sra.7697392@viajes.cl,Alcoy,Elche,39,2809,197000,Megabus,2025-10-10,2025-10-11,Cama,,{},,{},,,,,,,{},,,,,,,,,,{},,
64412,Vacaciones,137213,2025-01-29,2907000,9,No disponible,2907,Horaciomondragón671@viajes.cl,León,Pontevedra,84,3830,323000,ÖBB (Austria),2025-05-01,2025-05-03,,"{Baño,Comida,Calefacción,Wifi,TV,""Aire acondicionado"",Agua}",{},,,,,,,,,{},,,,,,,,,,{},,
