nombre,correo,contrasena,username,telefono_contacto,run,puntos,jornada,isapre,contrato,dv
Sta. Vicente Camacho Delvalle,Sta.delvalle496@tourket.com,LlkghN7Vs,sta.8228233,+56 2 1779 8679,16663834,,,,,8
Felipe Malave Guzmán,femagu861@outluc.com,0EM0qX3yBNe,felipe389913,+56 9 9829 3364,13634972,-3776,,,,4
Ricardo Oquendo Castillo,ricardo3973419@viajes.cl,Y24jZx1iRQ6gWAWe,ricardo6993336,+56 9 1353 1879,13675797,,Nocturno,Consalud,Part time,0
Sra. Rubén Valdez Lira,srruvali274@viajes.cl,RdyLTzvUA26g,sra.9801908,+56 2 4465 7016,28871279,,Diurno,Banmédica,Part time,4
Horacio Brito Mondragón,Horaciomondragón671@viajes.cl,FoV4CKKB9d,Horaciomondragón620,+56 9 6309 3594,23119308,,Diurno,Colmena,Part time,1
Ana María Solorzano Ledesma,anmasole255@marmol.com,d3KBs54QTV,Analedesma879,+56 9 4970 0391,14398569,-4451,,,,5
Agustín Rodríguez Covarrubias,agroco155@viajes.cl,KJmninb93iIEb,Agustíncovarrubias398,+56 2 4355 6453,23752105,,Diurno,Consalud,Part time,6
José María Cazares Olivárez,jomacaol823@viajes.cl,wt6zSATIrc,jomacaol279,+56 2 5533 8763,13025266,,Diurno,Colmena,Part time,4
Daniel Tovar Orozco,daniel9564115@viajes.cl,rSDU5LZVyiZ530Dp,datoor784,+56 9 9961 8616,10188544,,Nocturno,Colmena,,5
Alejandro Ramos Gálvez,alragá795@marmol.com,wtvcEf7ArJbXy,Alejandrogálvez870,+56 9 8179 0592,27334479,,,,,9
Ana María Ordóñez Ibarra,ana168390@viajes.cl,e1Rqo4oPNR7okJsi,anmaorib399,+56 9 3275 7794,21245655,,Nocturno,,Part time,1
Claudia Serna Pichardo,clsepi736@viajes.cl,9dnlBquXQG7,Claudiapichardo392,+56 9 9988 6738,20193189,,Nocturno,Banmédica,Part time,4
Sr. Ramiro Cortez Zamora,sr.4154206@viajes.cl,5ZcZgfr0Rz,sr.1164210,,28707987,,Diurno,Banmédica,Part time,7
Lucas Peña Almonte,lupeal718@viajes.cl,Wf50uEo3NLXMfg,Lucasalmonte986,+56 2 8332 2553,19396780,,Nocturno,Consalud,,9
Sra. Adán Delao Guevara,sra.9489774@viajes.cl,CgxupkUUvcG53S,sra.9118895,+56 9 4711 1810,16680382,,Diurno,Fonasa,Part time,9
Laura Loera Reséndez,laura7467553@edubus.cal,OylAfT9cJjE,lalore208,+56 9 1017 0003,11006057,,,,,2
Gilberto Carrasco Soria,Gilbertosoria980@viajes.cl,2a1VX4nNeest,Gilbertosoria580,+56 9 2199 9808,10970262,,Nocturno,Colmena,Part time,5
Dorotea Mejía Acevedo,dorotea2336994@edubus.cal,tQzS7VLNuV5i0cCm,dorotea1524736,+56 2 5388 6045,11796100,,,,,1
Fernando Acevedo Vásquez,feacvá813@viajes.cl,8ii2qpI9BvsQdb1,Fernandovásquez253,+56 9 2395 3055,11961604,,Nocturno,Banmédica,Full time,2
Eva Mata Cepeda,Evacepeda737@edubus.cal,1zFS74vX2,evmace692,+56 2 7051 7043,29265642,,,,,4
María del Carmen Mata Peralta,madecamape194@viajesanma.com,K2cXHtKKwjh7yRzV,maría9787144,+56 9 1233 3298,28259208,-43202,,,,8
Víctor Palomo Macías,vípama583@viajes.cl,91X5uio0qq8,Víctormacías696,+56 2 2639 8913,10054876,,Diurno,Más vida,Full time,3
Sra. Claudia Quiñónez Sánchez,Sra.sánchez672@outluc.com,Y3CA3IDgFjvj3,Sra.sánchez385,+56 9 8894 7961,26389295,,,,,K
Julia Menchaca Anguiano,julia5060345@viajes.cl,pCQM3a06SgrLw,julia9439635,+56 2 3364 0671,24885000,,Diurno,Más vida,Part time,0
Antonio Barajas Narváez,antonio5143423@viajes.cl,dl7SLivz,Antonionarváez896,+56 2 0204 9982,12574439,,Nocturno,Banmédica,Full time,7
Mariano Navarrete Linares,manali180@viajes.cl,6GPMu5WZvx,Marianolinares110,+56 9 4012 3527,18733620,,Nocturno,Fonasa,Full time,1
Pablo Cervántez Alcaraz,pablo1161196@viajes.cl,C1VwQeE5uAZCqXgW,Pabloalcaraz453,+56 2 0427 9828,16598559,,Diurno,Consalud,Part time,1
Ramón Saldivar Arredondo,ramón5115143@edubus.cal,etQEcufhA7qpUQ,rasaar469,+56 2 8303 5513,29680422,,,,,3
Irene Romo Quintana,Irenequintana176@viajes.cl,lPp8ZNP7vCSt,irroqu907,+56 9 8057 8874,23833937,,,Colmena,Part time,5
Ramiro Colunga Manzanares,ramiro8561965@viajes.cl,37HKScgcUnyQoa,Ramiromanzanares827,+56 2 8484 3712,25277761,,Diurno,Más vida,Full time,K
Mónica Navarrete Guzmán,mónagu274@viajes.cl,ZPo3NdSVSBpnb,mónagu115,+56 9 5909 1248,11158144,,,Colmena,Full time,4
Claudia Ortiz Bermúdez,Claudiabermúdez356@viajes.cl,M2O0IuFh,Claudiabermúdez608,+56 9 7146 6863,25305983,,Nocturno,Fonasa,Full time,4
Josefina Vera Téllez,Josefinatéllez916@edubus.cal,sKtY0iROknlMTSG,josefina8605455,+56 9 9311 9374,12417924,,,,,6
Sara Balderas Carrasco,sabaca244@viajes.cl,q1Egxe2BYdj7zsq5,Saracarrasco753,+56 9 5680 6928,22196521,,Nocturno,Banmédica,Part time,3
Juan Cano Salcedo,jucasa710@tourket.com,n1w1e9xfO,jucasa988,+56 2 2906 2840,28635796,,,,,2
Carlos Sierra Uribe,Carlosuribe251@viajesanma.com,izdaW2hcWnrydS,carlos2151194,+56 2 2330 0356,28788420,,,,,6
Patricia Rubio Matías,patricia1999310@viajes.cl,E8xj1QadLQ6gbn,paruma669,+56 9 0764 1928,29782123,,Diurno,Colmena,Full time,7
Sra. Maricarmen Galván Botello,sra.3992295@viajes.cl,pc2VfQSD24iKFshD,Sra.botello477,+56 9 8050 9442,16425901,,Nocturno,Banmédica,Full time,3
Vicente Rentería Angulo,Vicenteangulo491@viajes.cl,UoIx1yjqvaj5zZd4,virean376,+56 2 4853 2622,28090922,,Nocturno,Consalud,Part time,K
Daniela Maldonado Candelaria,Danielacandelaria184@viajes.cl,dqoGoZgSJo2,Danielacandelaria865,,13183093,,Nocturno,Banmédica,Part time,9
Vicente Raya Valverde,virava360@viajesanma.com,nMzhPhS0nz0,Vicentevalverde628,+56 9 6790 5112,20464731,,,,,3
Natalia Rosas Robles,naroro910@viajes.cl,RPtwqafNHQ883c0V,natalia6651745,+56 9 1704 3637,19467370,,Nocturno,Más vida,Full time,1
Sta. Manuel Ureña Segovia,sta.179300@wass.com,637H6dekH,Sta.segovia738,+56 9 0379 0519,27882682,,,,,1
Dolores Alarcón Vanegas,Doloresvanegas563@viajes.cl,1cYBKia62w1,doalva916,+56 9 7123 8723,29479484,,Diurno,Más vida,Part time,0
Sergio Hidalgo Ybarra,sehiyb598@tourket.com,VSDFBr5QKlyeK4,sergio7144568,+56 9 4811 6454,21306235,,,,,2
Lorena Jaimes García,lorena2437172@viajes.cl,lKhA4bBr,lojaga665,+56 2 6183 7061,24104880,,Nocturno,Más vida,Full time,2
Carolina Raya Baca,Carolinabaca615@viajes.cl,5t8FGZ2h6pNfY,caraba170,+56 9 5243 4797,19348858,,Nocturno,Consalud,Part time,7
Mario Rodríquez Garibay,maroga573@viajes.cl,dikBXsP0,mario2421971,+56 2 9618 2710,29331634,,Diurno,Colmena,Part time,1
Sta. Joaquín Murillo Casanova,stjomuca556@viajes.cl,i8nbF5oz4Lo79eZ,Sta.casanova835,+56 9 3282 1043,21297207,,Nocturno,Banmédica,Full time,K
Clara Limón Peña,clara7771923@viajes.cl,neq9GFzOC,clara7275880,+56 9 1729 1335,20808510,,Nocturno,Consalud,Full time,7
